name,slug,category,religion,denomination,school_type,grade_range,lowest_grade,highest_grade,address,city,county,state,zip,phone,website,total_enrollment,k12_enrollment,student_teacher_ratio,listing_status,source,source_id,needs_review,notes
91St Psalm Christian School,91st-psalm-christian-school-phoenix-az,Christian School,Other religious,Christian (no specific denomination),Regular,PK-UG,PK,UG,2020 E Baseline Rd,Phoenix,Maricopa,AZ,85042,(602) 243-1900,,209,190,11.17,Unverified,NCES PSS 2023-24 private school search export,A9700074,,Website missing in NCES export; school should claim/update profile.
Adobe Adventist Christian School,adobe-adventist-christian-school-mesa-az,Christian School,Other religious,Other Christian/Religious,Regular,K-9,K,9,9910 E Adobe Rd,Mesa,Maricopa,AZ,85207,(176) 068-8677,,12,12,12,Unverified,NCES PSS 2023-24 private school search export,A1900086,Yes,Website missing in NCES export; school should claim/update profile.
All Saints Catholic School,all-saints-catholic-school-sierra-vista-az,Christian School,Catholic,Roman Catholic,Regular,PK-9,PK,9,1425 Yaqui St,Sierra Vista,Cochise,AZ,85650,(520) 378-7012,,102,93,10.33,Unverified,NCES PSS 2023-24 private school search export,A1900088,,Website missing in NCES export; school should claim/update profile.
American Indian Christian Misson School,american-indian-christian-misson-school-show-low-az,Christian School,Other religious,Christian (no specific denomination),Regular,3-12,3,12,924 Mission Ln,Show Low,Navajo,AZ,85901,(928) 537-5912,,17,17,2.83,Unverified,NCES PSS 2023-24 private school search export,A9700082,,Website missing in NCES export; school should claim/update profile.
Annunciation Catholic School,annunciation-catholic-school-cave-creek-az,Christian School,Catholic,Roman Catholic,Regular,K-9,K,9,32648 N Cave Creek Rd,Cave Creek,Maricopa,AZ,85331,(480) 361-8234,,245,245,15.5,Unverified,NCES PSS 2023-24 private school search export,A1100025,,Website missing in NCES export; school should claim/update profile.
Apache Baptist Academy,apache-baptist-academy-bylas-az,Christian School,Other religious,Baptist,Regular,2-8,2,8,"Wickiup Villiage, Ste E",Bylas,Graham,AZ,85530,(928) 961-0270,,7,7,3.5,Unverified,NCES PSS 2023-24 private school search export,A1900091,,Website missing in NCES export; school should claim/update profile.
Arizona Lutheran Academy,arizona-lutheran-academy-phoenix-az,Christian School,Other religious,Other Lutheran,Regular,10-UG,10,UG,6036 S 27Th Ave,Phoenix,Maricopa,AZ,85041,(602) 268-8686,,238,238,10.39,Unverified,NCES PSS 2023-24 private school search export,01926277,,Website missing in NCES export; school should claim/update profile.
Arrowhead Christian Academy,arrowhead-christian-academy-glendale-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-UG,K,UG,4030 W Yorkshire Dr,Glendale,Maricopa,AZ,85308,(623) 582-6871,,247,247,16.14,Unverified,NCES PSS 2023-24 private school search export,A0304001,,Website missing in NCES export; school should claim/update profile.
Ascension Lutheran Preschool,ascension-lutheran-preschool-tucson-az,Christian School,Other religious,Evangelical Lutheran Church in America,Early childhood/child care,PK-K,PK,K,1220 W Magee Rd,Tucson,Pima,AZ,85704,(520) 742-6229,,126,18,18,Unverified,NCES PSS 2023-24 private school search export,A0100466,,Website missing in NCES export; school should claim/update profile.
Atonement Lutheran,atonement-lutheran-glendale-az,Christian School,Other religious,Evangelical Lutheran Church in America,Regular,PK-9,PK,9,4001 W Beardsley Rd,Glendale,Maricopa,AZ,85308,(623) 374-3019,,106,73,10.57,Unverified,NCES PSS 2023-24 private school search export,K9300083,,Website missing in NCES export; school should claim/update profile.
Beautiful Savior Academy,beautiful-savior-academy-tucson-az,Christian School,Other religious,Wisconsin Evangelical Lutheran Synod,Early childhood/child care,PK-TK,PK,TK,7570 N Thornydale Rd,Tucson,Pima,AZ,85752,(520) 579-1453,,59,18,18,Unverified,NCES PSS 2023-24 private school search export,A9703805,,Website missing in NCES export; school should claim/update profile.
Blessed Sacrament Preschool & Kindergarten,blessed-sacrament-preschool-kindergarten-scottsdale-az,Christian School,Catholic,Roman Catholic,Early childhood/child care,K,K,K,11300 N 64Th St,Scottsdale,Maricopa,AZ,85254,(480) 998-9466,,10,10,5,Unverified,NCES PSS 2023-24 private school search export,A9703808,,Website missing in NCES export; school should claim/update profile.
Bourgade Catholic High School,bourgade-catholic-high-school-phoenix-az,Christian School,Catholic,Roman Catholic,Regular,10-UG,10,UG,4602 N 31St Ave,Phoenix,Maricopa,AZ,85017,(602) 973-4000,,330,330,9.73,Unverified,NCES PSS 2023-24 private school search export,00031425,,Website missing in NCES export; school should claim/update profile.
Brophy College Preparatory,brophy-college-preparatory-phoenix-az,Christian School,Catholic,Roman Catholic,Regular,7-UG,7,UG,4701 N Central Ave,Phoenix,Maricopa,AZ,85012,(602) 264-5291,,1402,1402,13.37,Unverified,NCES PSS 2023-24 private school search export,00031414,,Website missing in NCES export; school should claim/update profile.
Calvary Chapel Christian School,calvary-chapel-christian-school-tucson-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-UG,K,UG,8725 E Speedway Blvd,Tucson,Pima,AZ,85710,(520) 731-2100,,225,225,17.3,Unverified,NCES PSS 2023-24 private school search export,A0700037,,Website missing in NCES export; school should claim/update profile.
Calvery Chapel Christian School,calvery-chapel-christian-school-tucson-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-UG,K,UG,8752 E Speedway Blvd,Tucson,Pima,AZ,85710,(520) 731-2100,,230,230,17.69,Unverified,NCES PSS 2023-24 private school search export,A1792001,,Website missing in NCES export; school should claim/update profile.
Cammack Christian Academy,cammack-christian-academy-laveen-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-7,K,7,4950 W Southern Ave,Laveen,Maricopa,AZ,85339,(602) 237-3333,,11,11,11,Unverified,NCES PSS 2023-24 private school search export,BB220027,,Website missing in NCES export; school should claim/update profile.
Carden Christian Academy Central,carden-christian-academy-central-tucson-az,Christian School,Other religious,Christian (no specific denomination),Regular,PK-9,PK,9,2727 N Swan Rd,Tucson,Pima,AZ,85712,(520) 318-3824,,61,53,11.52,Unverified,NCES PSS 2023-24 private school search export,A0100495,,Website missing in NCES export; school should claim/update profile.
Carefree Christian Academy,carefree-christian-academy-cave-creek-az,Christian School,Other religious,Christian (no specific denomination),Regular,PK-UG,PK,UG,5025 E Carefree Hwy,Cave Creek,Maricopa,AZ,85331,(480) 553-0856,,79,71,6.76,Unverified,NCES PSS 2023-24 private school search export,A2100163,,Website missing in NCES export; school should claim/update profile.
Caritas Academy,caritas-academy-chandler-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-10,K,10,301 N Hartford St,Chandler,Maricopa,AZ,85225,(480) 808-0557,,118,118,10.63,Unverified,NCES PSS 2023-24 private school search export,A2300038,,Website missing in NCES export; school should claim/update profile.
Casas Christian School,casas-christian-school-oro-valley-az,Christian School,Other religious,Christian (no specific denomination),,K-9,K,9,10801 N La Cholla Blvd,Oro Valley,Pima,AZ,85742,(520) 297-0922,,408,408,,Unverified,NCES PSS 2023-24 private school search export,02004105,,Website missing in NCES export; school should claim/update profile.
Chaparral Christia Community Schools,chaparral-christia-community-schools-scottsdale-az,Christian School,Other religious,Christian (no specific denomination),Regular,K-7,K,7,6451 E Shea Blvd,Scottsdale,Maricopa,AZ,85254,(480) 991-6440,,39,39,19.5,Unverified,NCES PSS 2023-24 private school search export,A0507016,,Website missing in NCES export; school should claim/update profile.
Cheder Lubavitch Arizona,cheder-lubavitch-arizona-phoenix-az,Christian School,Other religious,Latter Day Saints,Regular,2-9,2,9,2118 E Lincoln Dr,Phoenix,Maricopa,AZ,85016,(602) 422-0341,,116,116,5.44,Unverified,NCES PSS 2023-24 private school search export,BB220002,Yes,Website missing in NCES export; school should claim/update profile.
Christ Church School,christ-church-school-paradise-valley-az,Christian School,Other religious,Friends,Regular,PK-4,PK,4,4015 E Lincoln Dr,Paradise Valley,Maricopa,AZ,85253,(602) 381-9906,,184,46,6.05,Unverified,NCES PSS 2023-24 private school search export,A1100028,,Website missing in NCES export; school should claim/update profile.
Christ Lutheran School,christ-lutheran-school-phoenix-az,Christian School,Other religious,Evangelical Lutheran Church in America,Regular,PK-9,PK,9,3901 E Indian School Rd,Phoenix,Maricopa,AZ,85018,(602) 957-7010,,609,500,15.87,Unverified,NCES PSS 2023-24 private school search export,00031844,,Website missing in NCES export; school should claim/update profile.
Christ Lutheran Vail Ec And Edu Creation School,christ-lutheran-vail-ec-and-edu-creation-school-vail-az,Christian School,Other religious,Evangelical Lutheran Church in America,Regular,PK-6,PK,6,14600 E Colossal Cave Rd,Vail,Pima,AZ,85641,(520) 468-7075,,79,59,7.56,Unverified,NCES PSS 2023-24 private school search export,A2100165,,Website missing in NCES export; school should claim/update profile.
Christ The King School,christ-the-king-school-mesa-az,Christian School,Catholic,Roman Catholic,Regular,PK-9,PK,9,1551 E Dana Ave,Mesa,Maricopa,AZ,85204,(480) 844-4410,,202,185,14.68,Unverified,NCES PSS 2023-24 private school search export,A9900116,,Website missing in NCES export; school should claim/update profile.
Cochise SDA Christian School,cochise-sda-christian-school-bisbee-az,Christian School,Other religious,Other Christian/Religious,Regular,2-8,2,8,1462 S Naco Hwy,Bisbee,Cochise,AZ,85603,(520) 432-9186,,11,11,6.87,Unverified,NCES PSS 2023-24 private school search export,A1900102,Yes,Website missing in NCES export; school should claim/update profile.
Covenant Child Care Center,covenant-child-care-center-phoenix-az,Christian School,Other religious,Christian (no specific denomination),Early childhood/child care,PK-K,PK,K,4601 N 34Th St,Phoenix,Maricopa,AZ,85018,(602) 421-7192,,42,8,8,Unverified,NCES PSS 2023-24 private school search export,A0507024,,Website missing in NCES export; school should claim/update profile.
Cross Of Glory Lutheran School,cross-of-glory-lutheran-school-peoria-az,Christian School,Other religious,Other Lutheran,Regular,PK-9,PK,9,10111 W Jomax Rd,Peoria,Maricopa,AZ,85383,(623) 224-8841,,181,121,18.33,Unverified,NCES PSS 2023-24 private school search export,A0700041,,Website missing in NCES export; school should claim/update profile.
Desert Christian School,desert-christian-school-tucson-az,Christian School,Other religious,Christian (no specific denomination),Regular,PK-UG,PK,UG,7525 E Speedway Blvd,Tucson,Pima,AZ,85710,(520) 901-5499,,543,503,10.56,Unverified,NCES PSS 2023-24 private school search export,A0304003,,Website missing in NCES export; school should claim/update profile.
Desert Christian Schools PK-12,desert-christian-schools-pk12-tucson-az,Christian School,Other religious,Christian (no specific denomination),,PK-UG,PK,UG,9415 E Wrightstown Rd,Tucson,Pima,AZ,85715,(520) 885-4800,,543,523,,Unverified,NCES PSS 2023-24 private school search export,A1900103,,Website missing in NCES export; school should claim/update profile.
Desert Foothills Lutheran Preschool,desert-foothills-lutheran-preschool-scottsdale-az,Christian School,Other religious,Evangelical Lutheran Church in America,Early childhood/child care,PK-K,PK,K,29305 N Scottsdale Rd,Scottsdale,Maricopa,AZ,85266,(480) 585-8007,,74,19,19,Unverified,NCES PSS 2023-24 private school search export,A2300041,,Website missing in NCES export; school should claim/update profile.
